ID,Name,StreetAddr,City,State,ZIP,N_Units,LI_UNITS,
GAA20070010,ASHFORD PARKSIDE SENIOR RESIDENCES,3522 BLAIR CIR NE,ATLANTA,GA,30319-7700,151,132,
GAA20070020,BRADFORD GWINNETT,100 CASTOR DR,NORCROSS,GA,30071-3708,196,194,
GAA20070030,CANDLER FOREST,2145 CANDLER RD,DECATUR,GA,30032,100,98,
GAA20070035,CAPITOL GATEWAY PHASE II,43 WOODWARD AVE SE,ATLANTA,GA,30312-2068,152,91,
GAA20070045,CHAMBLEE SENIOR RESIDENCES,3381 MALONE DR,CHAMBLEE,GA,30341-2771,65,65,
GAA20070050,COLUMBIA AT MECHANICSVILLE,500 MCDANIEL ST SW,ATLANTA,GA,30312-2492,172,126,
GAA20070055,COLUMBIA SRRESIDENCES AT MECHANICSVILLE,555 MCDANIEL ST SW,ATLANTA,GA,30312,155,150,
GAA20070060,COTTONWOOD POINTE,135 N WASHINGTON ST,SUMMERVILLE,GA,30747-1762,48,48,
GAA20070063,CREEKSIDE VISTA,3100 LUMBY DR,DECATUR,GA,30034,208,,
GAA20070080,HAMPTON LAKE APARTMENTS,105 CAITLIN LN,THOMASVILLE,GA,31792-0817,96,75,
GAA20070095,KIRBY CREEK APARTMENTS,105 JOYNER RD,CAIRO,GA,39828-7449,56,44,
GAA20070105,LINWOOD PLACE,300 CIVIC DR,CHATSWORTH,GA,30705-4021,48,43,
GAA20070120,PARK VIEW AT COVENTRY STATION,3381 GREENBRIAR PKWY SW,ATLANTA,GA,30331-2654,166,141,
GAA20070122,PARKLAND MANOR APARTMENTS,3755 MEDICAL PARK DR,AUSTELL,GA,30106-6826,150,0,
GAA20070125,AVALON PARK FAMILY,2798 PEEK RD NW,ATLANTA,GA,30318,175,124,
GAA20070135,ROSE OF SHARON,322 E TAYLOR ST,SAVANNAH,GA,31401-5029,206,0,
GAA20070155,LEGACY AT WALTON VILLAGE PHASE I,1400 ROBERTA DR SW,MARIETTA,GA,30008,126,87,
GAA20070160,SENIOR RESIDENCES AT THOMSON,138 KINGSTOWN WAY,THOMSON,GA,30824-2483,65,57,
GAA20070180,WESTPORT VILLAGE,1612 CARSWELL AVE,WAYCROSS,GA,31503-4129,64,64,
GAA20070205,AVALON PARK SENIOR,2798 PEEK RD NW,ATLANTA,GA,30318-6072,136,136,
GAA20070220,CAPITOL GATEWAY PHASE I,89 MEMORIAL DR SE,ATLANTA,GA,30312-2056,269,0,
GAA20070230,COLUMBIA BLACKSHEAR SR,14 MELDON AVENUE,ATLANTA,GA,30315,77,0,
GAA20070235,COLUMBIA GROVE,1783 JOHNSON RD NW,ATLANTA,GA,30318-8901,138,0,
GAA20070245,COLUMBIA SENIOR RESIDENCES AT MARTIN LUTHER KING VILLAGE,125 LOGAN ST SE,ATLANTA,GA,30312,122,96,
GAA20070265,ENOTA VILLAGE APARTMENTS,55 ENOTA VILLAGE DR,YOUNG HARRIS,GA,30582-4040,60,47,
GAA20070270,FOURTH STREET VILLAGE APARTMENTS,690 FOURTH ST,ATHENS,GA,30601-6008,118,94,
GAA20070305,WATERFORD PLACE,131 N PICKENS ST,MILLEDGEVILLE,GA,31061-3391,80,63,
GAA20079008,CANDLER FORREST,2145 CANDLER RD,DECATUR,GA,30032-5574,100,0,
GAA20079012,COLUMBIA SENIOR RESIDENCE AT MLK,125 LOGAN ST SE,ATLANTA,GA,30312-2000,122,0,
GAA20079015,COLUMBIA TOWER AT MLK VILLAGE-AKA MLKVLGE TWR,380 MARTIN STEET,ATLANTA,GA,30312,96,0,
GAA20079031,LEGACY AT WALTON VILLAGE,1400 ROBERTA DR SW,MARIETTA,GA,30008-3896,126,0,
GAA20079037,PECAN GROVE II,100 PECAN GROVE DR,WAYNESBORO,GA,30830-1605,51,0,
GAA20079042,PROVENANCE AT HOLLOWELL FAMILY,2798 PEEK RD NW,ATLANTA,GA,30318-6072,175,0,
GAA20079043,PITTSBURGH PHASE I LP,765 MCDANIEL ST SW,ATLANTA,GA,30310-5300,220,0,
GAA20080001,ANNADALE PARK,611 GORDAY DR,ASHBURN,GA,31714-1864,36,0,
GAA20080002,ASHLEY MIDTOWN II,1518 E PARK AVE,SAVANNAH,GA,31404-2158,38,38,
GAA20080003,ASHLEY STATION II,2321 OLIVE ST,COLUMBUS,GA,31904-8633,183,110,
GAA20080007,ASHTON PLACE,700 ASHTON PL CIR,ASHBURN,GA,31714,41,40,
GAA20080010,ATRIUM AT COLLEGETOWN,435 JOSEPH E LOWERY BLVD SW,ATLANTA,GA,30310-1471,190,0,
GAA20080013,AUTUMN CREST,887 FORRESTER DR SE,DAWSON,GA,39842-2042,36,0,
GAA20080020,BARKLEY ESTATES,1005 E 4TH AVE,ALBANY,GA,31705-1364,67,0,
GAA20080025,BLAKELY COMMONS,89 BLAKELY COMMONS CIR,BLAKELY,GA,39823-1980,64,0,
GAA20080030,CAMERON COURT PHASE I,1807 MACON RD,PERRY,GA,31069,64,,
GAA20080033,CAMPBELL CREEK,351 W MEMORIAL DR,DALLAS,GA,30132-4100,80,64,
GAA20080035,COLLEGE SQUARE,1207 EDWARD ST,FORT VALLEY,GA,31030-2909,60,0,
GAA20080042,COLUMBIA AT SYLVAN HILLS,1150 ASTOR AVE SW,ATLANTA,GA,30310-4856,191,0,
GAA20080045,COLUMBIA MECHANICSVILLE IV,520 FULTON ST SW,ATLANTA,GA,30312,164,98,
GAA20080050,FULLERTON SQUARE,102 W KING ST,SYLVESTER,GA,31791-1102,30,24,
GAA20080055,HERON LAKE II,1800 EASTWIND RD,VALDOSTA,GA,31602-5467,64,54,
GAA20080056,HICKORY TRACE,34 HICKORY TRACE CIR,SWAINSBORO,GA,30401-4075,40,0,
GAA20080058,KINGSLAND PHASE II,201 CANEY HEIGHTS CT,KINGSLAND,GA,31548-5876,48,0,
GAA20080059,LAUREL RIDGE DEVELOPMENT,101 LAUREL RIDGE AVE E,LAGRANGE,GA,30240-4179,69,0,
GAA20080060,LILLIE R. CAMPBELL HOUSE,1830 CAMPBELLTON RD SW,ATLANTA,GA,30311-4176,96,0,
GAA20080065,LONE MOUNTAIN VILLAGE PHASE I,140 HAILEY DR,RINGGOLD,GA,30736,56,44,
GAA20080075,MAGNOLIA TERRACE II,718 GREEN ST,FORT VALLEY,GA,31030-4332,36,0,
GAA20080076,MAGNOLIA VILLAGE APTS (AMERICUS),104 MAGNOLIA CT,AMERICUS,GA,31719,80,80,
GAA20080078,MULBERRY COURT,154 JACK ALLEN RD W,FITZGERALD,GA,31750-9674,48,0,
GAA20080080,PEARL STEPHENS VILLAGE,3321 NAPIER AVE,MACON,GA,31204-3764,61,0,
GAA20080095,PINE RIDGE ESTATES,108 HUBERT DOLLAR DR,BAINBRIDGE,GA,39819-3354,40,40,
GAA20080110,SUMMER TRACE,100 W TURNER ST UNIT H-1,METTER,GA,30439-3340,40,0,
GAA20080115,SWEETWATER TERRACES,3555 SWEETWATER RD,DULUTH,GA,30096-4720,165,0,
GAA20080125,THE VILLAGE AT CHICKAMAUGA,147 ARROW HEAD DAIRY LN,CHICKAMAUGA,GA,30707-1772,40,32,
GAA20080130,VERANDA AT AUBURN POINT,115 HILLIARD ST SE,ATLANTA,GA,30312-7001,124,0,
GAA20080135,"VILLAGES AT CARVER, PHASE V",178 MOURY AVE SW,ATLANTA,GA,30315-3446,165,0,
GAA20080140,WINDSOR COURT,1201 ORANGE ST,FORT VALLEY,GA,31030-3425,56,0,
GAA20080800,AVALON RIDGE,183 MOUNT ZION RD SE,ATLANTA,GA,30354,222,199,
GAA20089005,CAMERON COURT,1807 MACON RD,PERRY,GA,31069-5232,64,0,
GAA20089011,COLUMBIA MECHANICSVILLE PHASE 4,520 FULTON ST SW,ATLANTA,GA,30312-2467,164,0,
GAA20089019,LONE MOUNTAIN VILLAGE,140 HAILEY DR,RINGGOLD,GA,30736-3086,56,42,
GAA20089030,THE TERRACES III,183 MT ZION RD SE,ATLANTA,GA,30354-2119,222,0,
GAA20090005,BAKER VILLAGE APTS PHASE 1,1440 BENNING DR,COLUMBUS,GA,31903-2200,148,0,
GAA20090010,ARCADIA AT PARKWAY VILLAGE,5150 THOMPSON RD,FAIRBURN,GA,30213-7700,292,0,
GAA20090015,ASHFORD PARKSIDE LANDING SENIOR RESIDENCES,3511 DONALDSON DR NE,BROOKHAVEN,GA,30319,117,,
GAA20090023,ASHTON BROWNS MILL,EDDY BENOIT JR.,HAPEVILLE,GA,30354,100,0,
GAA20090030,AVALON APTS,3751 CUSSETA RD,COLUMBUS,GA,31903-4800,232,0,
GAA20090035,BIG SKY VIILLAGE,301 SKYVIEW DR,HIAWASSEE,GA,30546-2268,48,0,
GAA20090050,JUNIPER COURT,283 NANCY DR,HARTWELL,GA,30643-8741,52,36,
GAA20090060,LUCKY POINTE,307 STANFIELD RD,LA FAYETTE,GA,30728-2195,52,36,
GAA20090065,LUMPKIN PARK,3361 N LUMPKIN RD,COLUMBUS,GA,31903-1634,192,0,
GAA20090070,MECHANICSVILLE APARTMENTS PHASE III,565 WELLS ST SW,ATLANTA,GA,30312-2443,164,0,
GAA20090080,SHEPPARD STATION APARTMENTS,BRIGHTON WOODS DRIVE,POOLER,GA,31322,65,52,
GAA20090095,SUSTAINABLE FELLWOOD,1450 BARNES DR,SAVANNAH,GA,31415-8790,110,0,
GAA20090100,BRIDGES AT SOUTHLAKE,503 EBONY LN,ALBANY,GA,31701-3831,55,0,
GAA20090102,CATOOSA SENIOR VILLAGE PHASE II,400 BIRCHWOOD RD,CALHOUN,GA,30701-7060,52,47,
GAA20090105,THE LEGACY AT WALTON LAKES,4725 WALTON XING SW,ATLANTA,GA,30331-6279,126,0,
GAA20090110,RETREAT AT DORSEY MANOR,118 HAYNES ST NE,MARIETTA,GA,30060-1957,72,0,
