OBJECTID,NAME,NAME_2,COUNTY,CITY,OWNER,MANAGEMENT,TYPE,SOURCE,ACRES,GlobalID,last_edited_date,Ownership
1,City Park, ,Cherokee,Ball Ground,Cherokee County,Cherokee County,Public Park,Georgia Tech,4.55489124,{4DFF8A8E-0D27-4D59-90E2-2F8FAA24E1F3},2022/04/05 20:15:21+00,Public
2,Lions Field, ,Cherokee,Ball Ground,Cherokee County,Cherokee County,Public Park,Georgia Tech,2.46350254,{B799B698-7904-42B2-AB52-4B59D14DA725},2022/04/05 20:15:21+00,Public
3,Underwood Hills Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,9.79997655,{AB39A767-A904-4668-93AC-27B04B5C6FE3},2022/04/05 20:15:21+00,Public
4,Atlanta Memorial Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,36.85597474,{43E1FACF-73FD-43D5-8647-93DE24EBF86B},2022/04/05 20:15:21+00,Public
5,McKinley-Wilson Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.05444782,{C4B517CE-0E35-42AA-A9B0-0DFD4115DBAD},2022/04/05 20:15:21+00,Public
6,Howell Mill-Glenbrook Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.01862087,{35F9522B-985F-4EC9-828B-F51B9786AC8B},2022/04/05 20:15:21+00,Public
7,Castlewood Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.40852001,{03AB6692-7E12-4A74-BCD6-0EA8AFC0F89C},2022/04/05 20:15:21+00,Public
8,Mornington Circle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.15610861,{50373EF4-8D94-4403-B935-BC17D4C329D3},2022/04/05 20:15:21+00,Public
9,Moores Mill-Northside Parkway Triangle I, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.01827046,{786725A2-2CA1-4839-BF4B-0DABC21B354F},2022/04/05 20:15:21+00,Public
10,Moores Mill-Northside Parkway Triangle II, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.01667232,{372B9B1E-DE2C-4981-AFE2-FABDC39D229E},2022/04/05 20:15:21+00,Public
11,Beaver Brook Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,6.96454063,{7C86B9FE-A5B0-4BF7-A11C-7E870C5C7A35},2022/04/05 20:15:21+00,Public
12,Coronet Way Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,1.40544285,{55AE72B6-275A-4505-9C70-A64FC4356203},2022/04/05 20:15:21+00,Public
13,Dill Avenue Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.08530721,{C7FBEA95-CDF7-4037-A5D9-74AA0B2282BB},2022/04/05 20:15:21+00,Public
14,Avery Park,Avery Park - Gilbert House,Fulton,Atlanta,City of Atlanta,City of Atlanta,recreational facility,Georgia Tech,10.50231003,{AFE71FD4-CB6B-413B-AE06-DADF980E9446},2022/04/05 20:15:21+00,Public
15,Sylvan Circle Playlot, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.50833355,{AC897858-0CB4-41F9-B6D5-15DA79F04E74},2022/04/05 20:15:21+00,Public
16,Elinor Place Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.60440679,{8AD490DE-F2BF-4477-8F5A-7648F7998A5C},2022/04/05 20:15:21+00,Public
17,Grove Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,recreational facility,Georgia Tech,17.33855983,{AE02A5FC-D481-4F60-82EA-C9E646386A30},2022/04/05 20:15:21+00,Public
18,Collum Circle Beauty Spot, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.04634053,{2FF265E0-478B-4B05-9010-19F677D3B0F3},2022/04/05 20:15:21+00,Public
19,Torrence Circle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.04581298,{30FD653F-639D-4417-BD1F-A877147D3F11},2022/04/05 20:15:21+00,Public
20,Spellman-Morehouse Beauty Spot, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.03470292,{9DC16868-85AE-486B-BEB2-4B4E6BEFDC5E},2022/04/05 20:15:21+00,Public
21,Tremont Playlot, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.17947578,{489D367C-C150-4875-A0E4-C33BBC9CD8A0},2022/04/05 20:15:21+00,Public
22,Edwin Place Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,4.283081,{232E2913-A766-4023-B9CF-487890652F5F},2022/04/05 20:15:21+00,Public
23,Arlington Circle Playlot, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.49261762,{FE2067D6-7853-45E6-A564-263EC426BAA1},2022/04/05 20:15:21+00,Public
24,Verbena Street Playlot, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.91092681,{B0370ECE-E07D-4719-B797-98D1EBF0B71F},2022/04/05 20:15:21+00,Public
25,Woodland Garden Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.40117618,{928903A2-8E1F-4DA1-9E3F-BC79B3C6EDC8},2022/04/05 20:15:21+00,Public
26,Confederate-Woodland Circle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.04498812,{03981421-C899-4D3B-8B00-6D85879B8819},2022/04/05 20:15:21+00,Public
27,Benteen Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,9.98220957,{A4779449-BDE5-4BF9-AF32-FB189BBBC2F6},2022/04/05 20:15:21+00,Public
28,Selena S. Butler Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,3.62852388,{1ABA4531-B302-4F8A-B6B2-7987D7A31B19},2022/04/05 20:15:22+00,Public
29,Hurt Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,1.86484692,{C15AEA14-8029-48C0-BF87-00C989E5275C},2022/04/05 20:15:22+00,Public
30,Arthur Langford Jr. Park,Joyland Park,Fulton,Atlanta,City of Atlanta,City of Atlanta,Recreational Facility,Georgia Tech,9.93113551,{5FF9CD6D-B2A1-4B6D-98AB-FF324C8B61EB},2022/04/05 20:15:22+00,Public
31,Rebel Valley Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,1.3712785,{8E9BC929-4B57-4C5F-8A71-B2A54838F102},2022/04/05 20:15:22+00,Public
32,Billings Circle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.02527778,{1D08947A-0D07-4266-9EBA-B202F7D30123},2022/04/05 20:15:22+00,Public
33,McKay Circle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.03946458,{BC41238D-082E-4BEC-A9E3-889CCCF74061},2022/04/05 20:15:22+00,Public
34,Tullwater Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,5.35996972,{70B29A50-D6A4-46F5-BDFC-07CF3B79638D},2022/04/05 20:15:22+00,Public
35,Empire Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Recreational Facility,Georgia Tech,10.05751429,{FDF852D0-F4E5-455A-BDD4-41A92D0324C1},2022/04/05 20:15:22+00,Public
36,Montreal Park, ,DeKalb,Clarkston,DeKalb County,DeKalb County,Public Park,Dekalb county,9.32579385,{94621BBC-BF9F-4F08-AF09-6DA1D5947066},2022/04/05 20:15:22+00,Public
37,Needham Park, ,DeKalb,Clarkston,DeKalb County,DeKalb County,Public Park,Dekalb County,2.76550498,{8257D3B4-67EE-4B1F-BAF2-E7174FA4E425},2022/04/05 20:15:22+00,Public
38,Parkside Park, ,DeKalb,Atlanta,DeKalb County,DeKalb County,Public Park,Dekalb County,1.61859025,{BD4B376A-6A0A-4181-9417-6E85891B8329},2022/04/05 20:15:22+00,Public
39,Princeton Park, ,DeKalb,Decatur,DeKalb County,DeKalb County,Public Park,Dekalb County,2.24816388,{8F6EAF6B-2517-4CAF-B594-9D9E1E8E253E},2022/04/05 20:15:22+00,Public
40,Salem Park, ,DeKalb,Lithonia,DeKalb County,DeKalb County,Public Park,dekalb county,11.5001217,{47C5DC5B-417C-45F5-A946-12075916DC28},2022/04/05 20:15:22+00,Public
41,Skyhaven School, ,DeKalb,Atlanta,DeKalb County,DeKalb County,Public Park,Georgia Tech,14.73692131,{44204515-6CAD-4B29-8284-1B7F94FEC01F},2022/04/05 20:15:22+00,Public
42,Skyland Park, ,DeKalb,Chamblee,DeKalb County,DeKalb County,Public Park,Dekalb County,10.20930071,{CAA357F8-2F18-47AD-B063-35D1A688D90C},2022/04/05 20:15:22+00,Public
43,Starmount McAfee Park, ,DeKalb,Atlanta,DeKalb County,DeKalb County,Public Park,Dekalb County,3.21417362,{12DA49E8-6DAF-4735-A5E0-281580B4E300},2022/04/05 20:15:22+00,Public
44,Harmon Field Park, ,Cherokee,Canton,City of Canton,City of Canton,Public Park,ESRI Parks_detail.shp,3.9158741,{9A94841A-46FD-4A3E-9EAA-F82BC5B01AE0},2022/04/05 20:15:22+00,Public
46,Strathmore/Baconsfield donation, ,Coweta,Tyrone,Coweta County,Coweta County,Conservation,Coweta County,30.85980761,{8CA97BA1-2B52-49C9-85AF-A0BBE6100880},2022/04/14 20:54:47+00,Public
47,Andrew Bailey Park, ,Coweta,Peachtree City,Coweta County,Coweta County,Recreational Facility,Parks and rec description,12.25401936,{A849002F-46CD-4472-9DE2-ADC0448422C2},2022/04/05 20:15:22+00,Public
48,Andrew Bailey wetlands, ,Coweta,Peachtree City,Coweta County,Coweta County,Conservation,Coweta County,48.80668427,{E33264CC-7D6F-41B4-8678-5BD5388177C9},2022/04/14 20:54:47+00,Public
49,Marimac Lakes Park, ,Coweta,Senoia,City of Senoia,City of Senoia,Public Park,Coweta County,36.71931498,{30BC89D2-5C2D-4365-A534-BE4A8FA9E0A3},2022/04/05 20:15:22+00,Public
